FID,BPID,STREET_NAM,FROM_ROAD,TO_ROAD,BLOCK,WARD,WIDTH__fee,Final_Rati,Rating_Cat,FC_Code,Date_Enter,Miles,Shape__Length
2423,SYR1424,"Genesee St., W.",West St.,Plum,500,2,48,4,Poor,14,2021/06/10 00:00:00+00,0.067996303527,149.572073643587
2424,SYR1425,"Genesee St., W.",Plum,Leavenworth,600,2,50,5,Poor,14,2021/06/10 00:00:00+00,0.152713741565,335.913515739238
2425,SYR1426,"Genesee St., W.",Leavenworth,Van Rennselaer,700,2,56,5,Poor,14,2021/06/10 00:00:00+00,0.15177152476,333.840773863268
2426,SYR1427,"Genesee St., W.",Van Rennselaer,Sand,800,2,56,5,Poor,14,2021/06/10 00:00:00+00,0.0841669386765,185.136339181081
2427,SYR1428,"Genesee St., W.",Sand,Geddes,900,2,56,6,Fair,14,2021/06/10 00:00:00+00,0.143310868007,315.232240514835
2428,SYR1429,"Genesee St., W.",Geddes,Liberty,1000,2,58,6,Fair,14,2021/06/10 00:00:00+00,0.162330775707,357.069112705104
2429,SYR143,Austin Ave.,Bellevue,Glenwood,100,11,0,8,Good,19,2021/06/10 00:00:00+00,0.306146731862,675.554176333271
2430,SYR1430,"Genesee St., W.",Liberty,Eureka,1100,2,51,9,Excellent,14,2021/06/10 00:00:00+00,0.0834419155407,183.579979074663
2431,SYR1431,"Genesee St., W.",Eureka,Dewey,1200,2,51,5,Poor,14,2021/06/10 00:00:00+00,0.188471242731,414.659730966712
2432,SYR1432,"Genesee St., W.",Dewey,State Fair Blvd.,1300,2,51,6,Fair,14,2021/06/10 00:00:00+00,0.0667955478706,146.957776048559
2433,SYR1433,"Genesee St., W.",State Fair Blvd.,Erie Blvd,1400,2,51,7,Good,14,2021/06/10 00:00:00+00,0.103833855743,228.444260095787
2434,SYR1434,"Genesee St., W.",Erie Blvd,Fayette,0,0,40,6,Fair,14,2021/10/14 00:00:00+00,0.0654456717797,143.962395057925
2435,SYR1435,"Genesee St., W.",Emerson,Milton,1600,7,40,6,Fair,14,2021/10/14 00:00:00+00,0.0859606028404,189.213956584884
2436,SYR1436,"Genesee St., W.",Milton,Willis,1700,7,40,6,Fair,14,2021/10/14 00:00:00+00,0.11292419034,248.57091211783
2437,SYR1437,"Genesee St., W.",Willis,Avery,1800,7,40,6,Fair,14,2021/10/14 00:00:00+00,0.113957907228,250.843261168878
2438,SYR1438,"Genesee St., W.",Avery,City Line,1900,7,40,6,Fair,14,2021/10/14 00:00:00+00,0.140564143701,309.491383539103
2439,SYR1439,George St.,Paul,Mildred,100,4,26,6,Fair,19,2021/06/25 00:00:00+00,0.0576719975409,127.220936093992
2440,SYR1440,George St.,Mildred,Grant Blvd,200,4,26,6,Fair,19,2021/06/25 00:00:00+00,0.0661509657365,145.931005630381
2441,SYR1441,Gere Ave,Avery,West End Dr.,100,7,19,7,Good,19,2021/06/10 00:00:00+00,0.0405919017279,89.3749938932308
2442,SYR1442,Gere Ave,West End Dr.,Willis,200,7,19,8,Good,19,2021/06/10 00:00:00+00,0.130117808634,286.701728874685
2443,SYR1443,Gertrude St,Howard,Lodi,100,6,27,5,Poor,19,2021/06/23 00:00:00+00,0.136215264869,299.975581386577
2444,SYR1444,Gertrude St,Lodi,Fountain,200,6,27,6,Fair,19,2021/06/23 00:00:00+00,0.0645893478358,142.233196049782
2445,SYR1445,Gertrude St,Fountain,Oak,300,6,27,7,Good,19,2021/06/23 00:00:00+00,0.154221128012,339.622312492547
2446,SYR1446,Gifford Pkwy,Demong,Claire Rd.,100,17,36,6,Fair,19,2021/07/19 00:00:00+00,0.0774097837944,170.757963432755
2447,SYR1447,Gifford Pkwy,Claire Rd.,Genesee St.,200,17,36,7,Good,19,2021/07/19 00:00:00+00,0.0918729875175,202.577395204614
2448,SYR1448,Gifford St,S. Clinton,Granger,100,8,30,5,Poor,16,2021/07/23 00:00:00+00,0.145497844357,319.994599503421
2449,SYR1449,Gifford St,Granger,West,200,8,30,5,Poor,16,2021/07/23 00:00:00+00,0.087337541287,192.081445266777
2450,SYR145,"Avery Ave., N.",Tompkins,Ulster,100,8,36,5,Poor,17,2021/06/02 00:00:00+00,0.0942476962998,207.871625080554
2451,SYR1450,Gifford St,West,Niagara,300,8,30,9,Excellent,19,2021/07/22 00:00:00+00,0.115178914361,253.313198616098
2452,SYR1451,Gifford St,Niagara,Oswego,400,8,30,9,Excellent,19,2021/07/22 00:00:00+00,0.182203368132,400.718157140487
2453,SYR1452,Gifford St,Oswego,Ontario,500,8,30,5,Poor,19,2021/07/22 00:00:00+00,0.180443484459,396.845712770004
2454,SYR1453,Gifford St,Ontario,Geddes,600,8,30,7,Good,19,2021/07/22 00:00:00+00,0.186277625499,409.676009883389
2455,SYR1454,Gilbert Ave,John,Curtis,100,3,26,6,Fair,19,2021/07/13 00:00:00+00,0.14437998284,317.925538339437
2456,SYR1455,Gilbert Ave,Curtis,Pond,200,3,26,7,Good,19,2021/07/13 00:00:00+00,0.105549140421,232.418761534007
2457,SYR1456,Gilbert St,Stedman,LeMoyne,100,1,0,5,Poor,19,2021/07/13 00:00:00+00,0.122546608827,270.12128353887
2458,SYR1457,Giminski,Pulaski,Spencer,100,2,30,7,Good,19,2021/07/15 00:00:00+00,0.11027862044,243.352857206928
2459,SYR1458,Girard Ave,Atlantic,Ballantyne,100,13,26,8,Good,19,2021/07/16 00:00:00+00,0.0485227192802,107.026335802547
2460,SYR1459,Girard Ave,Ballantyne,Pacific,200,13,26,9,Excellent,19,2021/07/16 00:00:00+00,0.118719893659,261.847601894271
2461,SYR146,"Avery Ave., N.",Ulster,Schuyler,200,7,36,5,Poor,17,2021/06/02 00:00:00+00,0.0950395892245,209.620134735726
