OBJECTID,BPID,STREET_NAME,FROM_STREET,TO_STREET,BLOCK,WARD,WIDTH,Rating_2022,RatingCategory,FC,CollectionDate,Miles,Shape__Length
45,SYR1043,Edgewood Ave,Elmwood,Fairfield,100,13,26,6,Fair,19,2022/08/15 17:47:00+00,0.0563499676925064,124.284457697008
46,SYR1044,Edgewood Ave,Fairfield,Hutchinson,200,13,26,7,Good,19,2022/08/15 17:53:03+00,0.060767723548358,134.066353756974
47,SYR1045,Edgewood Ave,Hutchinson,Lynch,300,13,26,6,Fair,19,2022/08/15 17:52:03+00,0.0897340728433649,197.968031637543
48,SYR1048,Edison St,Geddes,Liberty,200,2,0,7,Good,19,2022/07/20 15:40:49+00,0.163450019732706,359.54468527137
49,SYR105,Arnold Ave.,Thurber,Holmes,100,19,26,6,Fair,19,2022/08/18 14:29:27+00,0.14697976280523,324.275947300446
50,SYR1050,Edna Rd,Gary,Hayes,100200,14,27,6,Fair,19,2022/07/20 19:27:57+00,0.255389443270584,561.151820792448
51,SYR1051,Edtim Rd,Village Dr.,Eastwood Rd.,100,4,32,7,Good,19,2022/08/03 19:20:52+00,0.146634167634892,322.970567845682
52,SYR1052,"Edwards Ave.,N.",James,Tyson,100,5,29,10,Excellent,19,2022/08/03 19:20:52+00,0.13248717834385,292.540114013698
53,SYR1053,"Edwards Ave.,N.",Tyson,Coughlin,200,4,29,7,Good,19,2022/08/03 19:20:52+00,0.197402886156319,435.907617940593
54,SYR1054,"Edwards Ave.,N.",Coughlin,City Line,300,4,29,6,Fair,19,2022/08/03 19:20:52+00,0.173655116926336,383.483803600636
55,SYR1055,"Edwards Ave.,S.",James,Northcliffe,100,5,24,10,Excellent,19,2022/08/03 15:21:54+00,0.171135242894213,377.869079101338
56,SYR1056,"Edwards Ave.,S.",Northcliffe,Glencove,200,5,24,10,Excellent,19,2022/08/03 15:21:54+00,0.157743278912254,348.288590235084
57,SYR1057,"Edwards Ave.,S.",Glencove,Sunnycrest,300,5,24,10,Excellent,19,2022/08/03 15:21:54+00,0.155886109020468,344.175454880765
58,SYR1058,"Edwards Ave.,S.",Sunnycrest,Caleb,400,5,24,10,Excellent,19,2022/08/03 15:21:54+00,0.141321883134764,312.008297099232
59,SYR1059,"Edwards Ave.,S.",Caleb,Burnet,500,5,31,10,Excellent,19,2022/08/03 15:21:54+00,0.107579389591638,237.504992621471
60,SYR106,Arnold Ave.,Holmes,Thayer,200,19,26,7,Good,19,2022/08/18 14:27:55+00,0.109866277905589,242.387270956152
61,SYR1060,Eldorado St.,Teall,Hixson,100,5,27,10,Excellent,19,2022/08/03 19:20:52+00,0.123708172619717,272.160959325824
62,SYR1061,Eldorado St.,Hixson,dead end,200,5,27,10,Excellent,19,2022/08/03 19:20:52+00,0.0695963538888811,153.113222774869
63,SYR1062,Elizabeth St,S. State,Garfield,100,19,27,9,Excellent,19,2022/08/18 13:55:02+00,0.094430365985465,207.632661970847
64,SYR1063,Elizabeth St,Garfield,dead end,200,19,27,6,Fair,19,2022/08/18 13:53:32+00,0.0554069733982114,121.828819847631
65,SYR1064,Elk St,S. Salina,S. State,100,19,27,5,Poor,19,2022/08/18 13:59:38+00,0.102348490102533,225.041544239023
66,SYR1065,Elk St,S. State,Dougall,200,19,27,5,Poor,19,2022/08/18 14:00:08+00,0.124285403692352,273.259708175781
67,SYR1066,Ellen St,Kenwood,dead end,100,1,0,10,Excellent,19,2022/08/18 15:33:35+00,0.054472829963532,120.098346229765
68,SYR1067,Elliot St,Putnam,Dudley,100,11,28,7,Good,19,2022/11/10 16:02:26+00,0.0556379191537291,122.347275409301
69,SYR1068,Elliot St,Dudley,Bradley,200,11,28,4,Poor,19,2022/11/10 16:01:23+00,0.118125756266053,259.755559600393
70,SYR1069,Elliot St,Bradley,Geddes,300,11,28,6,Fair,19,2022/11/10 16:03:24+00,0.101147481584419,222.481028607128
71,SYR107,Arnold Ave.,Thayer,Pine Grove,300,19,26,7,Good,19,2022/08/18 14:27:25+00,0.0626231584159906,138.147894399515
72,SYR1070,Elliot St,Geddes,Arthur,400,11,28,7,Good,19,2022/07/14 19:27:17+00,0.143208053062036,314.914287434406
73,SYR1071,Ellis St,E. Fayette,Lexington,300,17,28,7,Good,19,2022/08/16 16:01:32+00,0.0662340093979465,146.199809165279
74,SYR1072,Ellis St,Lexington,Genesee,400,17,28,7,Good,19,2022/08/16 16:01:32+00,0.149961761993768,331.002489361244
75,SYR1073,Elm Street,Burnet,Hawley,300,6,30,5,Poor,19,2022/08/01 18:37:41+00,0.226438881722841,499.871491363748
76,SYR1074,Elm Street,Hawley,Lincoln Pk. Dr.,400,6,30,7,Good,19,2022/08/01 18:37:41+00,0.175914652258654,388.3555693969
77,SYR1075,Elm Street,Lincoln Pk. Dr.,Sedgwick,500,6,30,7,Good,19,2022/08/01 18:37:41+00,0.163400210996183,360.322817581379
78,SYR1076,Elmhurst Ave E,Hatch,creek,100,19,27,4,Poor,19,2022/08/04 15:46:11+00,0.118813885119618,261.210239003473
79,SYR1077,Elmhurst Ave W,creek,Randall,100,13,27,5,Poor,19,2022/08/04 15:59:17+00,0.086399119994366,189.946130016969
80,SYR1078,Elmhurst Ave W,Randall,Bishop,200,13,27,6,Fair,19,2022/08/04 15:59:16+00,0.0587675053457856,129.198521335678
81,SYR1079,Elmhurst Ave W,Bishop,South Av,300,13,27,5,Poor,19,2022/08/04 15:58:46+00,0.0689321446566145,151.544806629037
